Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Region,PC1,PC2
2025,1,Finland,7.764,7.69,7.837,1.915,1.638,0.939,1.105,0.093,0.491,1.582,Western Europe,3.2942624815293735,0.6026003503545314
2025,2,Iceland,7.54,7.449,7.63,1.971,1.72,0.996,1.105,0.187,0.187,1.373,Western Europe,2.697732025585025,0.9775226869835238
2025,3,Denmark,7.539,7.446,7.631,1.986,1.633,0.93,1.081,0.125,0.474,1.31,Western Europe,3.3002574841798626,0.995190151521337
2025,4,Costa Rica,7.439,7.356,7.522,1.697,1.483,0.739,1.101,0.059,0.122,2.236,Latin America & Caribbean,1.145139739575503,-0.9833636719050318
2025,5,Sweden,7.255,7.172,7.337,1.95,1.57,1.027,1.07,0.149,0.447,1.041,Western Europe,3.2668326489966506,1.3490378854838092
2025,6,Norway,7.242,7.156,7.327,2.057,1.626,0.983,1.092,0.157,0.413,0.913,Western Europe,3.3501725264840365,1.2635983725341546
2025,7,Netherlands,7.223,7.153,7.293,1.983,1.539,0.922,1.0,0.175,0.349,1.255,Western Europe,2.6340674308857444,1.370155060401578
2025,8,Israel,7.187,7.119,7.254,1.867,1.606,0.925,0.863,0.139,0.196,1.592,Middle East & North Africa,1.7388116835544596,0.1950716285729437
2025,9,Luxembourg,7.063,6.971,7.154,2.162,1.465,0.981,1.056,0.111,0.382,0.907,Western Europe,3.05274631431573,0.40821978110370893
2025,10,Switzerland,7.018,6.937,7.099,2.028,1.534,1.017,1.035,0.148,0.452,0.804,Western Europe,3.252139587701968,1.289730375722672
2025,11,New Zealand,6.995,6.915,7.074,1.876,1.58,0.924,1.034,0.155,0.422,1.003,North America & ANZ,2.8297751876729222,1.3775255334619552
2025,12,Mexico,6.972,6.885,7.06,1.636,1.366,0.631,1.015,0.056,0.128,2.141,Latin America & Caribbean,0.5366051211900856,-0.9607343199280849
2025,13,Ireland,6.928,6.839,7.018,2.146,1.558,0.936,1.032,0.172,0.364,0.72,Western Europe,3.0268441335377547,1.2681218723441645
2025,14,Belgium,6.926,6.859,6.993,1.951,1.52,0.988,0.99,0.107,0.296,1.074,Western Europe,2.4191325565598465,0.11373707133068259
2025,15,Australia,6.916,6.833,6.999,1.937,1.497,0.956,0.989,0.159,0.294,1.085,North America & ANZ,2.3576256848511687,0.9718308572519615
2025,16,Kosovo,6.91,6.81,7.01,1.535,1.293,0.907,1.045,0.186,0.082,1.86,Central & Eastern Europe,0.8815688018504502,1.1312013552926803
2025,17,Germany,6.882,6.789,6.975,1.948,1.49,0.876,0.948,0.145,0.349,1.128,Western Europe,2.290867987745876,0.900325749215902
2025,18,Slovenia,6.868,6.783,6.954,1.872,1.594,0.913,1.097,0.108,0.108,1.177,Central & Eastern Europe,1.8697575880596526,-0.4338344739494734
2025,19,Austria,6.845,6.764,6.927,1.954,1.474,0.926,0.979,0.171,0.285,1.057,Western Europe,2.256980780281451,1.1287502783700545
2025,20,Czechia,6.821,6.739,6.903,1.869,1.594,0.72,1.045,0.106,0.081,1.405,Central & Eastern Europe,1.2986995897927616,-0.6008872683687007
2025,21,United Arab Emirates,6.821,6.734,6.907,1.98,1.096,0.71,1.071,0.149,0.228,1.587,Middle East & North Africa,1.361200763181733,0.855424799975585
2025,22,Saudi Arabia,6.817,6.726,6.907,1.949,1.412,0.831,1.042,0.096,0.196,1.291,Middle East & North Africa,1.7417640300503847,-0.3075752853112902
2025,23,United States,6.816,6.724,6.908,2.002,1.516,0.678,0.776,0.155,0.155,1.534,North America & ANZ,1.0408374243829785,0.19958794429145532
2025,24,Poland,6.768,6.706,6.83,1.851,1.479,0.693,0.945,0.023,0.177,1.6,Central & Eastern Europe,1.0842318129265964,-1.6019831696407056
2025,25,Canada,6.741,6.656,6.826,1.917,1.525,0.955,0.948,0.153,0.321,0.923,North America & ANZ,2.361392481038522,0.9348302639035849
2025,26,Taiwan Province of China,6.714,6.628,6.8,1.959,1.446,0.933,0.879,0.107,0.179,1.211,East Asia,1.6131667538817942,-0.3369857312860698
2025,27,Belize,6.711,6.432,6.989,1.471,1.42,0.609,1.146,0.07,0.08,1.913,Other,0.4649547642904751,-0.7173394109202691
2025,28,Lithuania,6.704,6.606,6.801,1.863,1.555,0.653,0.891,0.049,0.113,1.579,Central & Eastern Europe,0.8322380288325307,-1.5007726393896474
2025,29,United Kingdom,6.694,6.613,6.776,1.896,1.458,0.888,0.962,0.191,0.291,1.008,Western Europe,2.0887698602177007,1.5118867630226043
2025,30,Serbia,6.691,6.607,6.775,1.696,1.543,0.58,0.913,0.124,0.096,1.74,Central & Eastern Europe,0.5168097582838721,-0.20207552559755956
2025,31,Uruguay,6.635,6.553,6.717,1.748,1.54,0.525,1.054,0.07,0.194,1.505,Latin America & Caribbean,1.0349078229200503,-0.6670837734109147
2025,32,Brazil,6.634,6.54,6.728,1.602,1.396,0.508,0.964,0.081,0.122,1.96,Latin America & Caribbean,0.19640785573414712,-0.6116269808753791
2025,33,Kazakhstan,6.633,6.555,6.711,1.782,1.599,0.552,0.982,0.117,0.104,1.496,Central & Eastern Europe,0.8198499636363814,-0.3336467422075464
2025,34,Romania,6.629,6.542,6.715,1.818,1.233,0.608,0.965,0.03,0.034,1.941,Central & Eastern Europe,0.13076722279969172,-1.795383600775654
2025,35,France,6.586,6.51,6.662,1.907,1.435,0.95,0.83,0.09,0.24,1.133,Western Europe,1.6374195949156185,-0.3920729336117179
2025,36,Singapore,6.585,6.497,6.674,2.167,1.471,1.059,0.98,0.145,0.512,0.252,Southeast Asia,3.523117896251614,1.3479621217777724
2025,37,El Salvador,6.578,6.461,6.694,1.448,1.086,0.633,1.089,0.047,0.289,1.987,Latin America & Caribbean,0.5783389984377824,-0.18080022119526076
2025,38,Italy,6.574,6.471,6.678,1.899,1.405,0.975,0.746,0.075,0.067,1.407,Western Europe,0.8753056167546092,-1.2742578218554232
2025,39,Panama,6.547,6.432,6.661,1.787,1.479,0.818,0.975,0.039,0.042,1.407,Latin America & Caribbean,0.8701106655434343,-1.7407430208449917
2025,40,Kuwait,6.543,6.432,6.655,1.862,1.316,0.88,1.031,0.11,0.167,1.177,Middle East & North Africa,1.4838885680549079,-0.06611873235311612
2025,41,Spain,6.54,6.459,6.62,1.871,1.552,1.036,0.857,0.112,0.167,0.946,Western Europe,1.7468310962214089,-0.31437192366687294
2025,42,Guatemala,6.533,6.39,6.676,1.472,1.175,0.38,1.034,0.076,0.094,2.304,Latin America & Caribbean,-0.47429410410748,-0.5083492982790517
2025,43,Malta,6.436,6.357,6.516,1.942,1.532,0.948,0.977,0.183,0.12,0.735,Western Europe,1.8267181107212591,0.7210357330598519
2025,44,Argentina,6.43,6.337,6.522,1.7,1.517,0.621,0.97,0.052,0.076,1.493,Latin America & Caribbean,0.5384202055036986,-1.3805779640019376
2025,45,Viet Nam,6.428,6.353,6.504,1.51,1.375,0.698,1.147,0.039,0.207,1.453,Other,1.0139100545378157,-0.7754525070261246
2025,46,Estonia,6.41,6.33,6.49,1.824,1.604,0.692,0.99,0.105,0.353,0.842,Central & Eastern Europe,1.9724598059608525,0.3129653441054593
2025,47,Bosnia and Herzegovina,6.381,6.283,6.478,1.616,1.425,0.678,0.874,0.152,0.024,1.612,Central & Eastern Europe,0.14951327907191175,0.10527643514090944
2025,48,Latvia,6.365,6.277,6.454,1.797,1.61,0.512,0.94,0.103,0.097,1.305,Central & Eastern Europe,0.6532803125055408,-0.6346897860338097
2025,49,Jamaica,6.305,5.994,6.615,1.445,1.554,0.371,0.966,0.059,0.082,1.827,Latin America & Caribbean,-0.22779263638021482,-1.092974027325379
2025,50,Chile,6.302,6.212,6.393,1.73,1.427,0.792,0.926,0.087,0.087,1.254,Latin America & Caribbean,0.7713967223529676,-0.7706874259794237
2025,51,Nicaragua,6.301,6.127,6.475,1.32,1.349,0.74,1.03,0.097,0.278,1.487,Latin America & Caribbean,0.8479279725127453,0.47748175329149495
2025,52,Thailand,6.296,6.187,6.405,1.632,1.424,0.694,1.087,0.195,0.029,1.234,Southeast Asia,0.708150021354851,0.967902965155257
2025,53,Uzbekistan,6.283,6.18,6.386,1.415,1.527,0.771,1.085,0.173,0.196,1.116,Central & Eastern Europe,1.2059521741468175,1.2852631685583333
2025,54,Slovakia,6.255,6.189,6.321,1.815,1.63,0.564,0.847,0.056,0.065,1.278,Central & Eastern Europe,0.4533378130618735,-1.6010560208094506
2025,55,Bahrain,6.254,6.143,6.364,1.93,1.293,0.693,1.055,0.143,0.171,0.969,Middle East & North Africa,1.2922025092761464,0.461301979058537
2025,56,Philippines,6.206,6.097,6.315,1.413,1.285,0.286,1.085,0.088,0.095,1.953,Southeast Asia,-0.4681610545324317,-0.3000963656713325
2025,57,Paraguay,6.198,6.091,6.306,1.547,1.529,0.209,1.039,0.097,0.058,1.719,Latin America & Caribbean,-0.31124571280139834,-0.5680576813059741
